feature,rank
dirfd=-100(int),1
flags=O_RDONLY|O_LARGEFILE(int),2
dev=5(dev_t),3
flags=O_RDONLY(int),4
fd=9(int),5
fd=38(int),6
fd=3(int),7
fd=27(int),8
flags=O_RDONLY|O_CLOEXEC(int),9
dev=211812353(dev_t),10
fd=17(int),11
cap=CAP_SYS_ADMIN(int),12
flags=O_RDWR|O_NONBLOCK|O_CLOEXEC(int),13
option=PR_CAP_AMBIENT(int),14
fd=4(int),15
arg2=1(unsigned long),16
sig=0(int),17
dev=28(dev_t),18
fd=39(int),19
flags=O_RDONLY|O_NONBLOCK|O_LARGEFILE|O_DIRECTORY(int),20
flags=O_WRONLY|O_NOCTTY|O_LARGEFILE(int),21
flags=O_WRONLY|O_NOCTTY|O_CLOEXEC(int),22
cap=CAP_SETUID(int),23
cap=CAP_SETGID(int),24
flags=O_RDONLY|O_NONBLOCK|O_DIRECTORY|O_CLOEXEC(int),25
cap=CAP_SYS_PTRACE(int),26
fd=32(int),27
addr={'sa_family': 'AF_UNSPEC'}(struct sockaddr*),28
dev=25(dev_t),29
stack=0x0(void*),30
parent_tid=0x0(int*),31
flags=O_RDONLY|O_NOFOLLOW|O_CLOEXEC|O_PATH(int),32
tls=0(unsigned long),33
pathname=/dev/null(const char*),34
arg5=0(unsigned long),35
cap=CAP_KILL(int),36
flags=CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID(unsigned int),37
protocol=0(int),38
newfd=1(int),39
pathname=/proc/1/status(const char*),40
pathname=/proc/sys/kernel/osrelease(const char*),41
pathname=/proc/1/cmdline(const char*),42
pathname=/proc/sys/kernel/pid_max(const char*),43
cap=CAP_FOWNER(int),44
pathname=/etc/ld.so.cache(const char*),45
dev=6(dev_t),46
inode=6(unsigned long),47
pathname=/run/systemd/units/log-extra-fields:ssh.service(const char*),48
oldfd=16(int),49
fd=15(int),50
