feature,correlation,p_value,normal_mean,anomaly_mean,difference
dirfd=-100(int),0.27799814083016183,0.0,0.0949019570198629,0.009002176993481202,-0.0858997800263817
flags=O_RDONLY|O_LARGEFILE(int),0.26069425157704484,0.0,0.08228642663599155,0.00725944814570305,-0.0750269784902885
dev=5(dev_t),0.2531668044544241,0.0,0.0625284842666102,0.0026097491087341265,-0.059918735157876074
flags=O_RDONLY(int),0.24290564232706044,0.0,0.057194651075299516,0.0020241983932322706,-0.055170452682067245
fd=9(int),0.23145837397461375,0.0,0.10212474297464016,0.0058439626966213494,-0.09628078027801881
fd=38(int),0.16063836382240848,0.0,0.02850125656842586,1.1664596200841018e-05,-0.02848959197222502
fd=3(int),0.1466052773859171,0.0,0.12023075165638565,0.026764415982829713,-0.09346633567355594
fd=27(int),0.12789668247579467,0.0,0.018791409641306833,6.998757720504611e-05,-0.018721422064101788
flags=O_RDONLY|O_CLOEXEC(int),0.12393339404310937,0.0,0.05342491531494652,0.010383153877448018,-0.0430417614374985
dev=211812353(dev_t),0.11241649320399325,0.0,0.04259438438585709,0.008181671180172195,-0.0344127132056849
fd=17(int),0.09833850482161532,0.0,0.019305460360977838,0.0011839565143853632,-0.018121503846592474
cap=CAP_SYS_ADMIN(int),0.08319825081520582,2.1174520777110316e-287,0.007824994288325338,1.7496894301261527e-05,-0.0078074973940240764
flags=O_RDWR|O_NONBLOCK|O_CLOEXEC(int),0.07518088437221049,6.34923279961248e-235,0.0058775475261124656,0.0,-0.0058775475261124656
option=PR_CAP_AMBIENT(int),0.06515120346385737,8.048033591838995e-177,0.004084474863039958,0.00013902446241201218,-0.003945450400627946
fd=4(int),0.06360502669580165,1.315185877380434e-168,0.021590130226182315,0.004514198729725474,-0.01707593149645684
arg2=1(unsigned long),0.06278367621748705,2.5196056660058363e-164,0.003917666592452552,0.00015941798885811027,-0.0037582486035944414
sig=0(int),0.05893635823605653,5.198904191484021e-145,0.0038268220242175005,0.0,-0.0038268220242175005
dev=28(dev_t),0.05673785691709256,1.594277823578763e-134,0.004278342617605669,0.00013298547661717668,-0.004145357140988492
fd=39(int),0.055617472883800964,2.4709281335356257e-129,0.003541238291066941,1.1664596200841018e-05,-0.0035295736948661
